Codigo;Preco Venda;Custo;Marcacao;Diferenca
40038;11,97;8,55;0;3,42
40049;28,37;20,27;0;8,1
41702;51,19;22,25;0;28,94
41703;182,45;79,32;0;103,13
41757;36,59;15,91;0;20,68
41778;244,1;106,13;0;137,97
44302;68,31;29,7;0;38,61
44351;55,35;24,06;0;31,29
1010100001;70564,73;56470,57;0;14094,16
1010100002;69155,31;55343,04;0;13812,27
1010100003;15,78;12,63;0;3,15
1010100004;15,42;12,34;0;3,08
1010100005;10,41;8,33;0;2,08
1010100006;10,15;8,12;0;2,03
1010100007;4491,34;3594,01;0;897,33
1010100011;8165,21;5834,98;0;2330,23
1010100012;8061,86;5759,81;0;2302,05
1010100013;18,45;13,18;0;5,27
1010100014;18,24;13,03;0;5,21
1010100015;4430,15;3544,12;0;886,03
1010100017;14,9;11,92;0;2,98
1010100018;4676,35;3741,08;0;935,27
1010100019;1161,72;929,38;0;232,34
1010100020;42312,42;30230,54;0;12081,88
1010100021;1922,78;1373,41;1,4;549,37
1010100022;4635,41;3708,33;0;927,08
1010100023;4666,73;3733,38;0;933,35
1010100026;435,16;348,27;0;86,89
1010114479;1155,98;924,91;1,27;231,07
1010114626;8,2;6,56;1,27;1,64
1010121149;4939,22;3529,8;0;1409,42
1010121150;4795,14;3426,45;0;1368,69
1010121151;16,15;11,54;0;4,61
1010121152;16,35;11,68;0;4,67
1010200001;19,08;11,93;0;7,15
1010200002;21,64;13,53;0;8,11
1010200003;18,43;11,52;0;6,91
1010200004;18,72;11,7;0;7,02
1010200018;18,24;13,03;0;5,21
1010200019;18,32;13,09;0;5,23
1010200020;11,56;8,26;0;3,3
1010200021;9,93;7,95;0;1,98
1010200022;15,73;12,59;0;3,14
1010200023;17,83;12,74;0;5,09
1010200024;2307,21;1846,4;0;460,81
1010202140;19,05;11,91;0;7,14
1010202141;18,67;11,67;0;7
1010202142;2402,82;1716,3;0;686,52
1010202143;16,57;11,84;0;4,73
1010202144;16,95;12,11;0;4,84
1010202145;17,01;12,15;0;4,86
1030021235;19,22;13,73;0;5,49
1030021236;18,77;13,41;0;5,36
1030021237;17,97;12,84;0;5,13
1030021238;18,67;13,34;0;5,33
1030021239;36,28;25,92;0;10,36
1030021350;10,89;7,78;0;3,11
1030021394;20,98;14,99;0;5,99
1030021402;22,47;16,05;0;6,42
1030021601;20,58;14,7;0;5,88
1030021603;24,41;17,44;1,35;6,97
1030021605;21,04;15,03;0;6,01
1030021661;21,29;15,21;1;6,08
1030021662;21,09;15,07;1;6,02
1030021671;22,21;15,87;0;6,34
1030021672;24,31;17,37;1,35;6,94
1030021693;40,16;28,69;1,35;11,47
1030021703;18,97;13,55;1;5,42
1030021707;28,19;20,14;1,35;8,05
1030021737;21,29;15,21;1,35;6,08
1030021741;21,36;15,26;0;6,1
1030021744;21,36;15,26;1;6,1
1030021745;21,36;15,26;1;6,1
1030021750;22,79;16,28;1;6,51
1030021800;23,24;16,6;1,35;6,64
1030021801;20,74;14,82;1,35;5,92
1030021822;24,23;17,31;0;6,92
