Codigo;Preco Venda;Custo;Marcacao;Diferenca
40038;10,09;7,21;0;2,88
40049;24,22;17,3;0;6,92
41702;51,19;22,25;0;28,94
41703;182,45;79,32;0;103,13
41757;36,59;15,91;0;20,68
41778;244,1;106,13;0;137,97
44302;68,31;29,7;0;38,61
44351;55,35;24,06;0;31,29
1010100001;63188,79;50551,03;0;12637,76
1010100002;61685,41;49376,52;0;12308,89
1010100003;14,35;11,48;0;2,87
1010100004;14,13;11,31;0;2,82
1010100005;11,25;9;0;2,25
1010100006;11,02;8,82;0;2,2
1010100007;4820,2;3857,1;0;963,1
1010100011;7371,24;5266,52;0;2104,72
1010100012;7277,28;5200,74;0;2076,54
1010100013;16,8;12;0;4,8
1010100014;16,59;11,85;0;4,74
1010100015;4777,9;3825,17;0;952,73
1010100017;13,32;10,66;0;2,66
1010100018;4180,47;3345,63;0;834,84
1010100019;1155,52;924,73;0;230,79
1010100020;39859,9;28475,05;0;11384,85
1010100021;1823,64;1303,19;1,4;520,45
1010100022;4137,42;3310,56;0;826,86
1010100023;4171,87;3338,75;0;833,12
1010100026;423,79;339,08;0;84,71
1010114479;1053,07;842,71;1,27;210,36
1010114626;8,38;6,71;1,27;1,67
1010121149;4450,62;3179,01;0;1271,61
1010121150;4309,68;3078,79;0;1230,89
1010121151;14,58;10,42;0;4,16
1010121152;15,09;10,78;0;4,31
1010200001;18,06;11,29;0;6,77
1010200002;20,6;12,88;0;7,72
1010200003;18,33;11,46;0;6,87
1010200004;18,6;11,63;0;6,97
1010200018;16,59;11,85;0;4,74
1010200019;16,68;11,92;0;4,76
1010200020;12,54;8,96;0;3,58
1010200021;11,43;9,15;0;2,28
1010200022;14,57;11,66;0;2,91
1010200023;16,5;11,79;0;4,71
1010200024;2061,13;1648,9;0;412,23
1010202140;18,12;11,33;0;6,79
1010202141;17,39;10,87;0;6,52
1010202142;2156,74;1540,75;0;615,99
1010202143;16,1;11,5;0;4,6
1010202144;16,46;11,76;0;4,7
1010202145;16,52;11,8;0;4,72
1030021235;18,56;13,26;0;5,3
1030021236;17,87;12,77;0;5,1
1030021237;17,13;12,24;0;4,89
1030021238;17,79;12,71;0;5,08
1030021239;36,23;25,88;0;10,35
1030021350;10,66;7,62;0;3,04
1030021394;20,31;14,51;0;5,8
1030021402;21,61;15,44;0;6,17
1030021601;19,76;14,12;0;5,64
1030021603;23,22;16,59;1,35;6,63
1030021605;20,21;14,44;0;5,77
1030021661;20,49;14,64;1;5,85
1030021662;20,21;14,44;1;5,77
1030021671;21,46;15,33;0;6,13
1030021672;23,35;16,68;1,35;6,67
1030021693;40,09;28,64;1,35;11,45
1030021703;18,25;13,04;1;5,21
1030021707;27,06;19,33;1,35;7,73
1030021737;20,51;14,65;1,35;5,86
1030021741;20,44;14,6;0;5,84
1030021744;20,44;14,6;1;5,84
1030021745;20,44;14,6;1;5,84
1030021750;21,96;15,69;1;6,27
1030021800;22,31;15,94;1,35;6,37
1030021801;19,93;14,24;1,35;5,69
1030021822;23,08;16,49;0;6,59
1030021824;20,2;14,43;0;5,77
1030021909;22,89;16,35;0;6,54
1030021910;12,69;9,07;0;3,62
1030021923;19,81;14,15;0;5,66
1030021924;18,62;13,3;0;5,32
1030025003;156,12;111,52;0;44,6
1030030101;229,64;164,03;0;65,61
1030030103;229,64;164,03;0;65,61
1030030903;266,71;190,51;0;76,2
1030030966;229,64;164,03;0;65,61
1030035018;258,98;184,99;0;73,99
1030035101;258,44;184,6;0;73,84
1030035103;258,44;184,6;0;73,84
1030035113;249,48;178,2;0;71,28
1030035114;386,91;276,37;0;110,54
1030035141;273,77;195,55;1;78,22
1030035159;273,77;195,55;0;78,22
1030035166;324,25;231,61;1;92,64
1030035176;273,77;195,55;1;78,22
1030035199;236,43;168,88;1;67,55
1030035903;324,25;231,61;0;92,64
1030035966;258,98;184,99;0;73,99
1030035981;301,51;215,37;0;86,14
1030035991;273,77;195,55;1;78,22
1030040018;297,17;212,27;0;84,9
1030040103;297,17;212,27;0;84,9
1030040199;273,64;195,46;1;78,18
1030040903;364,79;260,57;0;104,22
1030040919;338,42;241,73;0;96,69
